Requete;Triplet_1;Triplet_2;Triplet_3;Triplet_4;Estimation_1;Estimation_2;Estimation_3;Estimation_4
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product87};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product87;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product41};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product41;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product155};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product155;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product173};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product173;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product202};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product202;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product181};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product181;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product97};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product97;;;;1;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product86};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product86;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product145};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product145;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product130};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product130;;;;1;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product208};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product208;;;;1;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product87};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product87;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product63};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product63;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product28};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product28;;;;5;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product211};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product211;;;;5;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product93};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product93;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product181};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product181;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product227};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product227;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product170};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product170;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product40};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product40;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product154};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product154;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product18};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product18;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product114};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product114;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product134};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product134;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product206};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product206;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product235};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product235;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product188};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product188;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product163};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product163;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product93};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product93;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product227};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product227;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product86};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product86;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product167};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product167;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product62};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product62;;;;5;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product174};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product174;;;;6;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product234};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product234;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product170};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product170;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product169};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product169;;;;1;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product194};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product194;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product234};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product234;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product170};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product170;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product100};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product100;;;;6;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product94};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product94;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product19};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product19;;;;5;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product160};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product160;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product116};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product116;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product248};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product248;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product129};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product129;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product25};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product25;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product100};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product100;;;;6;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product10};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product10;;;;11;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product232};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product232;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product6};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product6;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product188};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product188;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product114};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product114;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product93};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product93;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product77};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product77;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product41};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product41;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product194};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product194;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product93};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product93;;;;7;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product131};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product131;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product183};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product183;;;;6;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product19};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product19;;;;5;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product28};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product28;;;;5;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product137};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product137;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product97};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product97;;;;1;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product35};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product35;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product86};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product86;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product208};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product208;;;;1;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product163};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product163;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product181};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product181;;;;2;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product145};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product145;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product19};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product19;;;;5;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product171};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product171;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product188};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product188;;;;4;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product43;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product114};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product114;;;;3;;;;
Select ?v0 WHERE {?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product212};?v0 http://purl.org/goodrelations/includes http://db.uwaterloo.ca/~galuc/wsdbm/Product212;;;;3;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product137};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product137;;;;5;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product87};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product87;;;;3;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product235};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product235;;;;3;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product155};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product155;;;;4;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product84};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product84;;;;5;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product181};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product181;;;;4;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product77};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product77;;;;2;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product94};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product94;;;;8;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product28};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product28;;;;16;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product94};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product94;;;;8;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product32};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product32;;;;10;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product1};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product1;;;;146;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product43};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product43;;;;12;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product232};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product232;;;;9;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product174};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product174;;;;5;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product59};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product59;;;;4;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product18};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product18;;;;18;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product194};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product194;;;;5;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product116};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product116;;;;4;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product100};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product100;;;;8;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product87};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product87;;;;3;;;;
